epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1473.88,1.62253,8.62513,0.60603,2.26818,1.92101,0.60834,0.44026,0.44932,0.29339,0.44912,0.27148,0.23001,0.05678,1.27699,6.49354,0.44628,1.51626,1.69802,0.00998058,0.00332686,0.00998058,0.00332686,0.00998058,0.00332686,0.00998058,0.00332686
2,2974.06,1.04808,5.29705,0.40598,1.26284,1.38654,0.66187,0.50839,0.53958,0.40312,0.71704,0.5077,0.52197,0.2875,0.98449,4.47305,0.33321,1.23843,1.36799,0.019585,0.00652832,0.019585,0.00652832,0.019585,0.00652832,0.019585,0.00652832
3,4442.79,1.01946,4.67815,0.33759,1.23429,1.34146,0.62711,0.46924,0.47394,0.3509,0.69188,0.47895,0.49604,0.27347,1.03706,4.39845,0.28961,1.42365,1.44181,0.0287934,0.00959778,0.0287934,0.00959778,0.0287934,0.00959778,0.0287934,0.00959778
4,5832.24,1.00369,4.29542,0.29649,1.22714,1.32829,0.72383,0.53118,0.56021,0.45116,0.78536,0.54867,0.57352,0.39644,0.86986,3.76141,0.24408,1.10475,1.27196,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,7303.88,0.92412,3.87876,0.26924,1.13055,1.26708,0.76874,0.54673,0.59896,0.47403,0.822,0.55392,0.5884,0.42511,0.80775,3.59081,0.23434,0.99447,1.21512,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,8875.77,0.86219,3.62832,0.25213,1.0662,1.22469,0.77985,0.54981,0.59262,0.48713,0.82941,0.56796,0.58966,0.45605,0.74714,3.40751,0.22142,1.0208,1.17198,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,10532.5,0.81851,3.42848,0.23833,1.01229,1.1943,0.80503,0.57248,0.62815,0.50981,0.87618,0.58384,0.60839,0.49558,0.70214,3.25842,0.20815,0.89245,1.15093,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,12284.8,0.7972,3.36298,0.23038,0.99462,1.18828,0.81004,0.55769,0.63401,0.52138,0.88078,0.5772,0.61094,0.50132,0.68093,3.18258,0.1984,0.85873,1.12775,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,14030.7,0.76805,3.22621,0.21948,0.96616,1.1683,0.82554,0.57024,0.63962,0.52875,0.88132,0.58952,0.61511,0.50886,0.6686,3.14425,0.18367,0.83434,1.10927,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,15871.2,0.74819,3.11698,0.21137,0.94223,1.14886,0.84566,0.57775,0.66783,0.55445,0.87433,0.59295,0.61992,0.53972,0.61158,2.97679,0.17556,0.77362,1.0743,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,17672.1,0.73005,3.0754,0.20609,0.92766,1.14268,0.85751,0.56656,0.65073,0.54489,0.89161,0.58884,0.62052,0.52333,0.61255,3.0198,0.17024,0.78054,1.07759,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,19325.4,0.71611,3.00539,0.20031,0.90618,1.1355,0.82494,0.57994,0.66026,0.55136,0.87133,0.59774,0.62,0.54414,0.6053,2.93074,0.16706,0.78546,1.07739,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,21086.1,0.70399,2.89104,0.1933,0.89207,1.133,0.84843,0.59261,0.67129,0.56282,0.89499,0.60116,0.62304,0.54549,0.58627,2.89293,0.16336,0.73144,1.06125,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,22617.3,0.68229,2.84231,0.18883,0.86575,1.11874,0.84263,0.59397,0.67456,0.56664,0.90049,0.59603,0.62363,0.54732,0.57233,2.8595,0.15441,0.71631,1.0549,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,24275.9,0.67376,2.7977,0.18201,0.86539,1.1111,0.87607,0.59089,0.67845,0.57325,0.90163,0.5974,0.62195,0.55478,0.5554,2.77874,0.15182,0.71899,1.03735,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,26069.2,0.66216,2.73091,0.17762,0.85429,1.10487,0.85805,0.58978,0.66752,0.56859,0.89129,0.6087,0.62556,0.55832,0.56571,2.73755,0.14919,0.7323,1.04739,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,27748.1,0.6504,2.67243,0.174,0.83364,1.10481,0.85288,0.61128,0.69704,0.58904,0.91323,0.59945,0.63074,0.56767,0.53827,2.75097,0.1432,0.67581,1.02686,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,29436,0.64608,2.63259,0.17043,0.82725,1.10234,0.87677,0.60116,0.68991,0.58353,0.91058,0.61007,0.62764,0.56707,0.5393,2.6891,0.14213,0.68119,1.0336,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,31285.9,0.63769,2.60539,0.1677,0.81399,1.09759,0.87246,0.61143,0.70174,0.59132,0.91858,0.60733,0.63498,0.57363,0.52334,2.67706,0.14,0.65449,1.0189,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
