epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1167.86,1.25577,0.55302,0.79398,0.94645,0.86014,0.92457,0.60495,1.11056,0.51324,0.79009,0.000665333,0.000665333,0.000665333
2,2287.13,1.28633,0.57457,0.79518,0.93521,0.86538,0.92528,0.58938,1.14603,0.54775,0.79382,0.00130563,0.00130563,0.00130563
3,3430.75,1.31152,0.58921,0.79789,0.94307,0.8579,0.92313,0.59635,1.14744,0.53746,0.79488,0.00191952,0.00191952,0.00191952
4,4530.93,1.30517,0.5812,0.79611,0.94225,0.86271,0.92561,0.59626,1.14347,0.5313,0.7939,0.0018812,0.0018812,0.0018812
5,5588.83,1.30259,0.57988,0.79638,0.93881,0.8668,0.92728,0.60121,1.11917,0.52429,0.79247,0.0018416,0.0018416,0.0018416
6,6801.1,1.29774,0.57461,0.79414,0.93653,0.8622,0.92685,0.60083,1.12175,0.52541,0.79398,0.001802,0.001802,0.001802
7,1181.96,1.29525,0.58524,0.79843,0.94857,0.85215,0.92108,0.59791,1.1432,0.52172,0.79498,0.0017624,0.0017624,0.0017624
8,2322.61,1.26427,0.5661,0.79349,0.94895,0.86354,0.92732,0.60226,1.1232,0.52016,0.79173,0.0017228,0.0017228,0.0017228
9,3479.88,1.25877,0.55845,0.79259,0.94737,0.86967,0.9305,0.62025,1.07717,0.49914,0.79048,0.0016832,0.0016832,0.0016832
10,4617.35,1.25025,0.55267,0.79118,0.94965,0.87784,0.93435,0.61376,1.09985,0.50444,0.79084,0.0016436,0.0016436,0.0016436
11,5660.95,1.24605,0.5497,0.79111,0.94957,0.87958,0.93579,0.61968,1.08074,0.49729,0.78867,0.001604,0.001604,0.001604
12,6815.03,1.24129,0.54717,0.78953,0.93567,0.87153,0.93133,0.60981,1.08805,0.50573,0.79161,0.0015644,0.0015644,0.0015644
13,7816.56,1.22892,0.54448,0.79155,0.94948,0.87573,0.93389,0.61486,1.09649,0.50352,0.78873,0.0015248,0.0015248,0.0015248
14,8786.5,1.23066,0.54332,0.79043,0.9473,0.87438,0.93645,0.62334,1.06082,0.49488,0.78778,0.0014852,0.0014852,0.0014852
15,9811.88,1.22614,0.53884,0.78936,0.94612,0.87493,0.93431,0.61911,1.08661,0.49767,0.79001,0.0014456,0.0014456,0.0014456
16,10816.2,1.21049,0.53109,0.78886,0.95376,0.88332,0.93762,0.62578,1.06196,0.48887,0.78652,0.001406,0.001406,0.001406
17,11785.9,1.19939,0.52727,0.78794,0.95603,0.88053,0.93885,0.63179,1.04868,0.48148,0.78654,0.0013664,0.0013664,0.0013664
18,12807.8,1.20735,0.52948,0.78739,0.94993,0.88626,0.93836,0.62572,1.05465,0.48552,0.78601,0.0013268,0.0013268,0.0013268
19,13757.4,1.20598,0.52588,0.78651,0.95189,0.87787,0.93957,0.63843,1.03274,0.4745,0.78611,0.0012872,0.0012872,0.0012872
20,14754.3,1.19715,0.52082,0.78761,0.95599,0.89051,0.9438,0.64075,1.02798,0.46817,0.78492,0.0012476,0.0012476,0.0012476
21,15817.8,1.18879,0.51889,0.7865,0.9555,0.88537,0.94197,0.63577,1.02908,0.47422,0.78502,0.001208,0.001208,0.001208
22,16886.7,1.18839,0.5178,0.78402,0.95423,0.88656,0.94026,0.63795,1.02773,0.47062,0.78448,0.0011684,0.0011684,0.0011684
23,17914.7,1.18037,0.51659,0.78579,0.95528,0.89035,0.94351,0.6433,1.01522,0.4636,0.78427,0.0011288,0.0011288,0.0011288
24,18879.3,1.16513,0.50911,0.7861,0.95578,0.89403,0.94459,0.64589,1.0122,0.45807,0.78322,0.0010892,0.0010892,0.0010892
25,19831.2,1.17077,0.50892,0.78412,0.95722,0.89184,0.94554,0.64512,1.01343,0.45988,0.78373,0.0010496,0.0010496,0.0010496
26,20819.6,1.15785,0.50448,0.78364,0.95596,0.89357,0.94517,0.64795,1.00586,0.45701,0.78329,0.00101,0.00101,0.00101
27,21873.7,1.15388,0.50082,0.78458,0.95607,0.89458,0.9458,0.65203,0.99846,0.45259,0.78261,0.0009704,0.0009704,0.0009704
28,22925.5,1.15187,0.49957,0.78365,0.95792,0.89125,0.94574,0.65343,0.99942,0.45485,0.78287,0.0009308,0.0009308,0.0009308
29,23830.5,1.16007,0.50248,0.78303,0.95871,0.89792,0.9469,0.65068,0.99561,0.45272,0.78185,0.0008912,0.0008912,0.0008912
30,25127.4,1.13755,0.49348,0.78391,0.96013,0.89384,0.94702,0.65611,0.99154,0.44832,0.78167,0.0008516,0.0008516,0.0008516
31,26171.2,1.13583,0.49205,0.78277,0.95874,0.89814,0.94759,0.65333,0.98998,0.44811,0.78192,0.000812,0.000812,0.000812
32,27203.6,1.1346,0.49058,0.78224,0.95908,0.89949,0.94832,0.65758,0.9827,0.44232,0.78171,0.0007724,0.0007724,0.0007724
33,28191.5,1.12785,0.48631,0.78131,0.96121,0.89776,0.94779,0.65482,0.98097,0.44226,0.78167,0.0007328,0.0007328,0.0007328
34,29170.3,1.12107,0.48442,0.78177,0.96176,0.89932,0.9483,0.65997,0.97558,0.43907,0.78102,0.0006932,0.0006932,0.0006932
35,30184.7,1.11447,0.48244,0.7806,0.96045,0.90041,0.94924,0.65979,0.97587,0.43948,0.78119,0.0006536,0.0006536,0.0006536
36,31161.3,1.11899,0.48181,0.78094,0.96081,0.89916,0.94877,0.65899,0.97946,0.43822,0.78109,0.000614,0.000614,0.000614
37,32213.1,1.11315,0.48036,0.78091,0.96151,0.89948,0.94961,0.66022,0.97325,0.43754,0.78063,0.0005744,0.0005744,0.0005744
38,33228.3,1.10873,0.47661,0.78071,0.95926,0.90295,0.95043,0.66252,0.97004,0.43636,0.7801,0.0005348,0.0005348,0.0005348
39,1293.53,1.10195,0.47805,0.78114,0.96177,0.89519,0.94304,0.6563,0.96933,0.43393,0.78115,0.0004952,0.0004952,0.0004952
40,2359.19,1.0943,0.47077,0.77952,0.96064,0.90269,0.94967,0.66478,0.96378,0.43237,0.78019,0.0004556,0.0004556,0.0004556
